missing_col,col2,col3,outliers_col,outliers_col2,categorical_col,ordinal_col,text_col
19.0,21.0,1.5797568375719317,76,0.1468151667338243,mouse,normal,"The tunnel wound on and on, going fairly but not quite straight into the side of the hill – The Hill, as all the people for many miles round called it – and many little round doors opened out of it, first on one side and then on another."
12.0,87.0,0.2570693354920978,85,0.21056889921597866,dog,bad,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
76.0,29.0,0.5648261724392227,49,2.4273328782394397,elephant,very bad,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
42.0,66.0,0.34506027027707264,67,1.6014577433245993,elephant,very good,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
49.0,43.0,0.8610066689204022,-14,22.375264770771746,cat,very bad,"This hobbit was a very well-to-do hobbit, and his name was Baggins."
72.0,1.0,1.7252923887329201,-75,7.558021152503334,mouse,very bad,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
24.0,69.0,0.4035816963715669,-27,0.9099091113379818,cat,bad,"
In a hole in the ground there lived a hobbit."
84.0,13.0,1.157647720779539,6,1.6172633561368523,mouse,normal,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
28.0,29.0,1.0044028334309885,39,1.7909456435592461,mouse,very good,"He may have lost the neighbours’ respect, but he gained – well, you will see whether he gained anything in the end."
,24.0,1.7409086841983836,92,0.37869544954301176,mouse,good,"The Bagginses had lived in the neighbourhood of The Hill for time out of mind, and people considered them very respectable, not only because most of them were rich, but also because they never had any adventures or did anything unexpected: you could tell what a Baggins would say on any question without the bother of asking him."
82.0,98.0,0.8186064976376457,-71,1.6425130792412879,cat,bad,"The Bagginses had lived in the neighbourhood of The Hill for time out of mind, and people considered them very respectable, not only because most of them were rich, but also because they never had any adventures or did anything unexpected: you could tell what a Baggins would say on any question without the bother of asking him."
79.0,51.0,0.9173293546424915,17,2.831484447686331,cat,very bad,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
29.0,73.0,3.0797091925749323,-40,1.608178317691757,elephant,bad,"The door opened on to a tube-shaped hall like a tunnel: a very comfortable tunnel without smoke, with paneled walls, and floors tiled and carpeted, provided with polished chairs, and lots and lots of pegs for hats and coats – the hobbit was fond of visitors."
10.0,10.0,0.5977464615069835,-90,1.4339056146165219,mouse,good,"The Bagginses had lived in the neighbourhood of The Hill for time out of mind, and people considered them very respectable, not only because most of them were rich, but also because they never had any adventures or did anything unexpected: you could tell what a Baggins would say on any question without the bother of asking him."
29.0,98.0,1.2118437621491822,-38,1.087053043102646,elephant,normal,"
In a hole in the ground there lived a hobbit."
24.0,6.0,0.8959859397072202,5,0.5716575717578494,cat,very bad,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
16.0,21.0,0.168192909410908,-41,2.118882566413651,elephant,very good,"Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat; it was a hobbit-hole, and that means comfort."
99.0,60.0,0.5484753070714107,-34,0.5459828266997522,mouse,normal,"
In a hole in the ground there lived a hobbit."
29.0,10.0,1.705430857772078,-6,0.38668290663047455,cat,very good,"He may have lost the neighbours’ respect, but he gained – well, you will see whether he gained anything in the end."
