name,Population_2011
Alcochete,17569
Alcochete,12239
Samouco,3143
São Francisco,2187
Almada,"174,03"
Almada,16584
Cacilhas,6017
Caparica,20454
Charneca de Caparica,29763
Costa da Caparica,13418
Cova da Piedade,19904
Feijó,18884
Laranjeiro,20988
Pragal,7156
Sobreda,15166
Trafaria,5696
Amadora,175136
Alfornelos,10439
Alfragide,9904
Brandoa,17805
Buraca,16081
Damaia,20894
Falagueira,14531
Mina,17977
Reboleira,14344
São Brás,26263
Venda Nova,8359
Venteira,18539
Barreiro,78764
Alto do Seixalinho,19995
Barreiro,7449
Coina,1722
Lavradio,14428
Palhais,1869
Santo André,"11,48"
Santo António da Charneca,11536
Verderena,10285
Cascais,206479
Alcabideche,42162
Carcavelos,23347
Cascais,35409
Estoril,26399
Parede,"21,66"
São Domingos de Rana,57502
Lisboa [Lisbon],547733
Ajuda,15584
Alcântara,13943
Alto do Pina,10333
Alvalade,8869
Ameixoeira,11863
Anjos,9361
Beato,12429
Benfica,36821
Campo Grande,10514
Campolide,"15,46"
Carnide,23316
Castelo,355
Charneca,9935
Coração de Jesus,3689
Encarnação,2252
Graça,5787
Lapa,8
Lumiar,41163
Madalena,393
Mártires,372
Marvila,38102
Mercês,4345
Nossa Senhora de Fátima,15283
Pena,4486
Penha de França,"12,78"
Prazeres,8096
Sacramento,742
Santa Catarina,3716
Santa Engrácia,5249
Santa Isabel,6875
Santa Justa,891
Santa Maria de Belém,8541
Santa Maria dos Olivais (Olivais),51036
Santiago,619
Santo Condestável,15257
Santo Estêvão,1511
Santos-o-Velho,"4,02"
São Cristóvão e São Lourenço,1341
São Domingos de Benfica,33745
São Francisco Xavier,"8,02"
São João,15187
São João de Brito,11727
São João de Deus,9798
São Jorge de Arroios,18415
São José,2746
São Mamede,"5,42"
São Miguel,1531
São Nicolau,1231
São Paulo,2728
São Sebastião da Pedreira,6342
São Vicente de Fora,3539
Sé,910
Socorro,3065
Loures,205054
Apelação,5647
Bobadela,8839
Bucelas,4663
Camarate,19789
Fanhões,2801
Frielas,2171
Loures,27362
Lousa,3169
Moscavide,14266
Portela,11809
Prior Velho,7136
Sacavém,18469
Santa Iria de Azoia,"18,24"
Santo Antão do Tojal,4216
Santo António dos Cavaleiros,25881
São João da Talha,17252
São Julião do Tojal,3837
Unhos,9507
Mafra,76685
Azueira,3164
Carvoeira,2155
Cheleiros,1347
Encarnação,4798
Enxara do Bispo,"1,74"
Ericeira,"10,26"
Gradil,1226
Igreja Nova,3037
Mafra,17986
Malveira,6493
Milharado,7023
Santo Estêvão das Galés,1709
Santo Isidoro,3814
São Miguel de Alcainça,1764
Sobral da Abelheira,1152
Venda do Pinheiro,8146
Vila Franca do Rosário,871
Moita,66029
Alhos Vedros,"15,05"
Baixa da Banheira,21085
Gaio-Rosário,1227
Moita,17653
Sarilhos Pequenos,"1,15"
Vale da Amoreira,9864
Montijo,51222
Afonsoeiro,7203
Alto Estanqueiro - Jardia,2846
Atalaia,2239
Canha,1689
Montijo,29908
Pegões,2375
Santo Isidro de Pegões,1538
Sarilhos Grandes,3424
Odivelas,144549
Caneças,12324
Famões,11095
Odivelas,59559
Olival Basto,5812
Pontinha,23041
Póvoa de Santo Adrião,13061
Ramada,19657
Oeiras,"172,12"
Algés,22273
Barcarena,13861
Carnaxide,25911
Caxias,9007
Cruz Quebrada - Dafundo,6393
Linda-a-Velha,19999
Oeiras e São Julião da Barra,33827
Paço de Arcos,15315
Porto Salvo,15157
Queijas,10377
Palmela,62831
Marateca,3724
Palmela,17481
Pinhal Novo,25003
Poceirão,4758
Quinta do Anjo,11865
Seixal,158269
Aldeia de Paio Pires,13258
Amora,48629
Arrentela,28886
Corroios,47661
Fernão Ferro,17059
Seixal,2776
Sesimbra,"49,5"
Castelo de Sesimbra,19053
Quinta do Conde,25606
Santiago,4841
Setúbal,121185
Gâmbia - Pontes - Alto da Guerra,5885
Nossa Senhora da Anunciada,13738
Sado,5783
Santa Maria da Graça,"7,62"
São Julião,"16,74"
São Lourenço,11638
São Sebastião,52542
São Simão,7239
Sintra,377835
Agualva,35824
Algueirão - Mem Martins,"66,25"
Almargem do Bispo,8983
Belas,26087
Cacém,21289
Casal de Cambra,12701
Colares,7628
Massamá,28112
Mira-Sintra,"5,28"
Monte Abraão,20809
Montelavar,3559
Pero Pinheiro,4246
Queluz,26248
Rio de Mouro,47311
Santa Maria e São Miguel,9364
São João das Lampas,11392
São Marcos,17412
São Martinho,6226
São Pedro de Penaferrim,14001
Terrugem,5113
Vila Franca de Xira,136886
Alhandra,6047
Alverca do Ribatejo,"31,07"
Cachoeiras,766
Calhandriz,801
Castanheira do Ribatejo,"7,5"
Forte da Casa,11056
Póvoa de Santa Iria,29348
São João dos Montes,6018
Sobralinho,"5,05"
Vialonga,21033
Vila Franca de Xira,18197
Areeiro,20131
Arroios,31653
Avenidas Novas,21625
Belém,16528
Campo de Ourique,"22,12"
Estrela,20128
Misericórdia,13044
Olivais,33788
Parque das Nações,21025
Santa Clara,"22,48"
Santa Maria Maior,12822
Santo António,11836
Bairro Falso,
